;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""knowledge""
oen_term:oen_0000000
""odML terminology""";knowledge;oen_term:oen_0000000;';';oen_0000403;';';';'
"owl:Class
""anatomical layer""
oen_term:oen_0000000
""odML terminology""";anatomical layer;oen_term:oen_0000000;';';oen_0000404;';';';'
"owl:Class
""storage file size""
oen_term:oen_0000000
""Helmholtz""";storage file size;oen_term:oen_0000000;';';oen_0000405;';';';'
"owl:Class
""electrode resistance""
oen_term:oen_0000000
""Helmholtz""";electrode resistance;oen_term:oen_0000000;';';oen_0000406;';';';'
"owl:Class
""state""
oen_term:oen_0000000
""Helmholtz""";state;oen_term:oen_0000000;';';oen_0000407;';';';'
"owl:Class
""stimulation luminance high""
oen_term:oen_0000000
""Helmholtz""";stimulation luminance high;oen_term:oen_0000000;';';oen_0000563;';';';'
"owl:Class
""white noise variance""
oen_term:oen_0000000
""odML terminology""";white noise variance;oen_term:oen_0000000;';';oen_0000562;';';';'
"owl:Class
""stimulus isolator output""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output;oen_term:oen_0000000;';';oen_0000561;';';';'
"owl:Class
""user""
oen_term:oen_0000000
""Helmholtz""";user;oen_term:oen_0000000;';';oen_0000560;';';';'
"owl:Class
""supplier phone number""
oen_term:oen_0000000
""Helmholtz""";supplier phone number;oen_term:oen_0000000;';';oen_0000219;';';';'
"owl:Class
""storage file server IP address""
oen_term:oen_0000000
""Helmholtz""";storage file server IP address;oen_term:oen_0000000;';';oen_0000218;';';';'
"owl:Class
""position""
oen_term:oen_0000000
""Helmholtz""";position;oen_term:oen_0000000;';';oen_0000565;';';';'
"owl:Class
""complementary metal oxide semiconductor image sensor""
oen_term:oen_0000000
""odML terminology""";complementary metal oxide semiconductor image sensor;oen_term:oen_0000000;';';oen_0000564;';';';'
"owl:Class
""bridged""
oen_term:oen_0000000
""odML terminology""";bridged;oen_term:oen_0000000;';';oen_0000215;';';';'
"owl:Class
""nomenclature""
oen_term:oen_0000000
""Helmholtz""";nomenclature;oen_term:oen_0000000;';';oen_0000214;';';';'
"owl:Class
""sine wave phase shift""
oen_term:oen_0000000
""odML terminology""";sine wave phase shift;oen_term:oen_0000000;';';oen_0000217;';';';'
"owl:Class
""dorsoventral""
oen_term:oen_0000000
""Helmholtz""";dorsoventral;oen_term:oen_0000000;';';oen_0000216;';';';'
"owl:Class
""full name""
oen_term:oen_0000000
""odML terminology""";full name;oen_term:oen_0000000;';';oen_0000211;';';';'
"owl:Class
""stimulus author""
oen_term:oen_0000000
""odML terminology""";stimulus author;oen_term:oen_0000000;';';oen_0000210;';';';'
"owl:Class
""window""
oen_term:oen_0000000
""odML terminology""";window;oen_term:oen_0000000;';';oen_0000213;';';';'
"owl:Class
""camera objective""
oen_term:oen_0000000
""odML terminology""";camera objective;oen_term:oen_0000000;';';oen_0000212;';';';'
"owl:Class
""internal diameter""
oen_term:oen_0000000
""Helmholtz""";internal diameter;oen_term:oen_0000000;';';oen_0000035;';';';'
"owl:Class
""sampling rate""
oen_term:oen_0000000
""odML terminology""";sampling rate;oen_term:oen_0000000;';';oen_0000034;';';';'
"owl:Class
""stimulation acquisition extra time""
oen_term:oen_0000000
""Helmholtz""";stimulation acquisition extra time;oen_term:oen_0000000;';';oen_0000037;';';';'
"owl:Class
""peristimulus time histogram analysis""
oen_term:oen_0000000
""odML terminology""";peristimulus time histogram analysis;oen_term:oen_0000000;';';oen_0000036;';';';'
"owl:Class
""recording file""
oen_term:oen_0000000
""Helmholtz""";recording file;oen_term:oen_0000000;';';oen_0000138;';';';'
"owl:Class
""data source""
oen_term:oen_0000000
""Helmholtz""";data source;oen_term:oen_0000000;';';oen_0000139;';';';'
"owl:Class
""microscope objective transmission range""
oen_term:oen_0000000
""odML terminology""";microscope objective transmission range;oen_term:oen_0000000;';';oen_0000033;';';';'
"owl:Class
""square wave duty cycle""
oen_term:oen_0000000
""odML terminology""";square wave duty cycle;oen_term:oen_0000000;';';oen_0000032;';';';'
"owl:Class
""stimulation cycle number""
oen_term:oen_0000000
""Helmholtz""";stimulation cycle number;oen_term:oen_0000000;';';oen_0000134;';';';'
"owl:Class
""extracellular recording""
oen_term:oen_0000000
""odML terminology""";extracellular recording;oen_term:oen_0000000;';';oen_0000135;';';';'
"owl:Class
""town""
oen_term:oen_0000000
""Helmholtz""";town;oen_term:oen_0000000;';';oen_0000136;';';';'
"owl:Class
""bridge balance""
oen_term:oen_0000000
""odML terminology""";bridge balance;oen_term:oen_0000000;';';oen_0000137;';';';'
"owl:Class
""stereotaxis device""
oen_term:oen_0000000
""Helmholtz""";stereotaxis device;oen_term:oen_0000000;';';oen_0000130;';';';'
"owl:Class
""responsible investigator role""
oen_term:oen_0000000
""odML terminology""";responsible investigator role;oen_term:oen_0000000;';';oen_0000131;';';';'
"owl:Class
""digital file""
oen_term:oen_0000000
""odML terminology""";digital file;oen_term:oen_0000000;';';oen_0000132;';';';'
"owl:Class
""species scientific name""
oen_term:oen_0000000
""Helmholtz""";species scientific name;oen_term:oen_0000000;';';oen_0000133;';';';'
"owl:Class
""emission filter upper bound""
oen_term:oen_0000000
""odML terminology""";emission filter upper bound;oen_term:oen_0000000;';';oen_0000546;';';';'
"owl:Class
""position anteroposterior axis""
oen_term:oen_0000000
""Helmholtz""";position anteroposterior axis;oen_term:oen_0000000;';';oen_0000550;';';';'
"owl:Class
""storage MIME type""
oen_term:oen_0000000
""Helmholtz""";storage MIME type;oen_term:oen_0000000;';';oen_0000620;';';';'
"owl:Class
""electroencephalogram""
oen_term:oen_0000000
""odML terminology""";electroencephalogram;oen_term:oen_0000000;';';oen_0000621;';';';'
"owl:Class
""stimulus file URL""
oen_term:oen_0000000
""odML terminology""";stimulus file URL;oen_term:oen_0000000;';';oen_0000622;';';';'
"owl:Class
""image acquisition spatial resolution""
oen_term:oen_0000000
""odML terminology""";image acquisition spatial resolution;oen_term:oen_0000000;';';oen_0000623;';';';'
"owl:Class
""dataset start date""
oen_term:oen_0000000
""odML terminology""";dataset start date;oen_term:oen_0000000;';';oen_0000624;';';';'
"owl:Class
""analog input channel gain""
oen_term:oen_0000000
""odML terminology""";analog input channel gain;oen_term:oen_0000000;';';oen_0000572;';';';'
"owl:Class
""multi electrode recording""
oen_term:oen_0000000
""odML terminology""";multi electrode recording;oen_term:oen_0000000;';';oen_0000626;';';';'
"owl:Class
""position dorsoventral value""
oen_term:oen_0000000
""Helmholtz""";position dorsoventral value;oen_term:oen_0000000;';';oen_0000627;';';';'
"owl:Class
""analog input maximum sampling rate""
oen_term:oen_0000000
""odML terminology""";analog input maximum sampling rate;oen_term:oen_0000000;';';oen_0000628;';';';'
"owl:Class
""fixed focus""
oen_term:oen_0000000
""odML terminology""";fixed focus;oen_term:oen_0000000;';';oen_0000629;';';';'
"owl:Class
""dataset recording start time""
oen_term:oen_0000000
""odML terminology""";dataset recording start time;oen_term:oen_0000000;';';oen_0000573;';';';'
"owl:Class
""voltage clamp technique""
oen_term:oen_0000000
""odML terminology""";voltage clamp technique;oen_term:oen_0000000;';';oen_0000578;';';';'
"owl:Class
""ramp end amplitude""
oen_term:oen_0000000
""odML terminology""";ramp end amplitude;oen_term:oen_0000000;';';oen_0000579;';';';'
"owl:Class
""multi-compartmental model""
oen_term:oen_0000000
""odML terminology""";multi-compartmental model;oen_term:oen_0000000;';';oen_0000149;';';';'
"owl:Class
""analog output sampling rate""
oen_term:oen_0000000
""odML terminology""";analog output sampling rate;oen_term:oen_0000000;';';oen_0000148;';';';'
"owl:Class
""low pass filter cutoff fequency""
oen_term:oen_0000000
""odML terminology""";low pass filter cutoff fequency;oen_term:oen_0000000;';';oen_0000141;';';';'
"owl:Class
""recording experimenter identifier""
oen_term:oen_0000000
""odML terminology""";recording experimenter identifier;oen_term:oen_0000000;';';oen_0000140;';';';'
"owl:Class
""light source watts intensity""
oen_term:oen_0000000
""odML terminology""";light source watts intensity;oen_term:oen_0000000;';';oen_0000143;';';';'
"owl:Class
""light source pulse width""
oen_term:oen_0000000
""odML terminology""";light source pulse width;oen_term:oen_0000000;';';oen_0000142;';';';'
"owl:Class
""analysis method""
oen_term:oen_0000000
""odML terminology""";analysis method;oen_term:oen_0000000;';';oen_0000145;';';';'
"owl:Class
""subject trivial name""
oen_term:oen_0000000
""odML terminology""";subject trivial name;oen_term:oen_0000000;';';oen_0000144;';';';'
"owl:Class
""multielectrode array row count""
oen_term:oen_0000000
""Helmholtz""";multielectrode array row count;oen_term:oen_0000000;';';oen_0000147;';';';'
"owl:Class
""inter-stimulus interval""
oen_term:oen_0000000
""odML terminology""";inter-stimulus interval;oen_term:oen_0000000;';';oen_0000146;';';';'
"owl:Class
""continuous drug application start""
oen_term:oen_0000000
""Helmholtz""";continuous drug application start;oen_term:oen_0000000;';';oen_0000224;';';';'
"owl:Class
""beam splitter manufacturer""
oen_term:oen_0000000
""odML terminology""";beam splitter manufacturer;oen_term:oen_0000000;';';oen_0000225;';';';'
"owl:Class
""unit of measurement""
oen_term:oen_0000000
""Helmholtz""";unit of measurement;oen_term:oen_0000000;';';oen_0000226;';';';'
"owl:Class
""analog camera""
oen_term:oen_0000000
""odML terminology""";analog camera;oen_term:oen_0000000;';';oen_0000227;';';';'
"owl:Class
""contrast sensitivity""
oen_term:oen_0000000
""odML terminology""";contrast sensitivity;oen_term:oen_0000000;';';oen_0000220;';';';'
"owl:Class
""image acquisition detector type""
oen_term:oen_0000000
""odML terminology""";image acquisition detector type;oen_term:oen_0000000;';';oen_0000221;';';';'
"owl:Class
""dual electrode recording""
oen_term:oen_0000000
""odML terminology""";dual electrode recording;oen_term:oen_0000000;';';oen_0000222;';';';'
"owl:Class
""digital input output line count""
oen_term:oen_0000000
""odML terminology""";digital input output line count;oen_term:oen_0000000;';';oen_0000223;';';';'
"owl:Class
""sharp electrode""
oen_term:oen_0000000
""Helmholtz""";sharp electrode;oen_term:oen_0000000;';';oen_0000387;';';';'
"owl:Class
""light source candela per square meter intensity""
oen_term:oen_0000000
""odML terminology""";light source candela per square meter intensity;oen_term:oen_0000000;';';oen_0000386;';';';'
"owl:Class
""wavelength upper bound""
oen_term:oen_0000000
""odML terminology""";wavelength upper bound;oen_term:oen_0000000;';';oen_0000385;';';';'
"owl:Class
""preparation animal sex""
oen_term:oen_0000000
""Helmholtz""";preparation animal sex;oen_term:oen_0000000;';';oen_0000384;';';';'
"owl:Class
""preparation animal nickname""
oen_term:oen_0000000
""Helmholtz""";preparation animal nickname;oen_term:oen_0000000;';';oen_0000228;';';';'
"owl:Class
""eye tracker fixation""
oen_term:oen_0000000
""odML terminology""";eye tracker fixation;oen_term:oen_0000000;';';oen_0000229;';';';'
"owl:Class
""device recording point""
oen_term:oen_0000000
""Helmholtz""";device recording point;oen_term:oen_0000000;';';oen_0000381;';';';'
"owl:Class
""stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000380;';';';'
"owl:Class
""light source wavelength lower bound""
oen_term:oen_0000000
""odML terminology""";light source wavelength lower bound;oen_term:oen_0000000;';';oen_0000691;';';';'
"owl:Class
""recording segment end""
oen_term:oen_0000000
""Helmholtz""";recording segment end;oen_term:oen_0000000;';';oen_0000690;';';';'
"owl:Class
""website""
oen_term:oen_0000000
""Helmholtz""";website;oen_term:oen_0000000;';';oen_0000693;';';';'
"owl:Class
""random dot count""
oen_term:oen_0000000
""odML terminology""";random dot count;oen_term:oen_0000000;';';oen_0000692;';';';'
"owl:Class
""recording end date and time""
oen_term:oen_0000000
""odML terminology""";recording end date and time;oen_term:oen_0000000;';';oen_0000695;';';';'
"owl:Class
""grating spatial frequency""
oen_term:oen_0000000
""odML terminology""";grating spatial frequency;oen_term:oen_0000000;';';oen_0000694;';';';'
"owl:Class
""image acquisition brightness adjustment""
oen_term:oen_0000000
""odML terminology""";image acquisition brightness adjustment;oen_term:oen_0000000;';';oen_0000697;';';';'
"owl:Class
""scanner""
oen_term:oen_0000000
""odML terminology""";scanner;oen_term:oen_0000000;';';oen_0000696;';';';'
"owl:Class
""wavelength""
oen_term:oen_0000000
""odML terminology""";wavelength;oen_term:oen_0000000;';';oen_0000699;';';';'
"owl:Class
""work position start""
oen_term:oen_0000000
""Helmholtz""";work position start;oen_term:oen_0000000;';';oen_0000698;';';';'
"owl:Class
""rectangle stimulation grating shape""
oen_term:oen_0000000
""Helmholtz""";rectangle stimulation grating shape;oen_term:oen_0000000;';';oen_0000453;';';';'
"owl:Class
""ellipse stimulation grating shape""
oen_term:oen_0000000
""Helmholtz""";ellipse stimulation grating shape;oen_term:oen_0000000;';';oen_0000452;';';';'
"owl:Class
""scanner dwell time""
oen_term:oen_0000000
""odML terminology""";scanner dwell time;oen_term:oen_0000000;';';oen_0000451;';';';'
"owl:Class
""region of interest""
oen_term:oen_0000000
""odML terminology""";region of interest;oen_term:oen_0000000;';';oen_0000450;';';';'
"owl:Class
""focus""
oen_term:oen_0000000
""odML terminology""";focus;oen_term:oen_0000000;';';oen_0000457;';';';'
"owl:Class
""scanner scan rate""
oen_term:oen_0000000
""odML terminology""";scanner scan rate;oen_term:oen_0000000;';';oen_0000456;';';';'
"owl:Class
""stimulus isolator input range maximum voltage""
oen_term:oen_0000000
""odML terminology""";stimulus isolator input range maximum voltage;oen_term:oen_0000000;';';oen_0000455;';';';'
"owl:Class
""focal length""
oen_term:oen_0000000
""odML terminology""";focal length;oen_term:oen_0000000;';';oen_0000454;';';';'
"owl:Class
""analysis caption""
oen_term:oen_0000000
""Helmholtz""";analysis caption;oen_term:oen_0000000;';';oen_0000592;';';';'
"owl:Class
""device serial""
oen_term:oen_0000000
""Helmholtz""";device serial;oen_term:oen_0000000;';';oen_0000567;';';';'
"owl:Class
""bath temperature""
oen_term:oen_0000000
""odML terminology""";bath temperature;oen_term:oen_0000000;';';oen_0000459;';';';'
"owl:Class
""chemistry catalog reference""
oen_term:oen_0000000
""Helmholtz""";chemistry catalog reference;oen_term:oen_0000000;';';oen_0000458;';';';'
"owl:Class
""position lateral value""
oen_term:oen_0000000
""Helmholtz""";position lateral value;oen_term:oen_0000000;';';oen_0000596;';';';'
"owl:Class
""perfect integrate and fire""
oen_term:oen_0000000
""odML terminology""";perfect integrate and fire;oen_term:oen_0000000;';';oen_0000597;';';';'
"owl:Class
""animal sacrifice""
oen_term:oen_0000000
""Helmholtz""";animal sacrifice;oen_term:oen_0000000;';';oen_0000594;';';';'
"owl:Class
""model""
oen_term:oen_0000000
""odML terminology""";model;oen_term:oen_0000000;';';oen_0000566;';';';'
"owl:Class
""cell baseline firing rate""
oen_term:oen_0000000
""odML terminology""";cell baseline firing rate;oen_term:oen_0000000;';';oen_0000082;';';';'
"owl:Class
""recording segment""
oen_term:oen_0000000
""Helmholtz""";recording segment;oen_term:oen_0000000;';';oen_0000513;';';';'
"owl:Class
""random dot vertical extent""
oen_term:oen_0000000
""odML terminology""";random dot vertical extent;oen_term:oen_0000000;';';oen_0000083;';';';'
"owl:Class
""sampling frequency""
oen_term:oen_0000000
""odML terminology""";sampling frequency;oen_term:oen_0000000;';';oen_0000726;';';';'
"owl:Class
""storage file creation date""
oen_term:oen_0000000
""Helmholtz""";storage file creation date;oen_term:oen_0000000;';';oen_0000569;';';';'
"owl:Class
""Butterworth filter""
oen_term:oen_0000000
""odML terminology""";Butterworth filter;oen_term:oen_0000000;';';oen_0000527;';';';'
"owl:Class
""multielectrode array column count""
oen_term:oen_0000000
""Helmholtz""";multielectrode array column count;oen_term:oen_0000000;';';oen_0000526;';';';'
"owl:Class
""perfusion drug application route""
oen_term:oen_0000000
""Helmholtz""";perfusion drug application route;oen_term:oen_0000000;';';oen_0000525;';';';'
"owl:Class
""stimulation phase""
oen_term:oen_0000000
""Helmholtz""";stimulation phase;oen_term:oen_0000000;';';oen_0000524;';';';'
"owl:Class
""stimulus duration""
oen_term:oen_0000000
""Helmholtz""";stimulus duration;oen_term:oen_0000000;';';oen_0000523;';';';'
"owl:Class
""center position reference""
oen_term:oen_0000000
""odML terminology""";center position reference;oen_term:oen_0000000;';';oen_0000522;';';';'
"owl:Class
""experiment subtype""
oen_term:oen_0000000
""odML terminology""";experiment subtype;oen_term:oen_0000000;';';oen_0000521;';';';'
"owl:Class
""work position end""
oen_term:oen_0000000
""Helmholtz""";work position end;oen_term:oen_0000000;';';oen_0000520;';';';'
"owl:Class
""leaky integrate-and-fire""
oen_term:oen_0000000
""Helmholtz""";leaky integrate-and-fire;oen_term:oen_0000000;';';oen_0000163;';';';'
"owl:Class
""image acquisition maximum frame rate""
oen_term:oen_0000000
""odML terminology""";image acquisition maximum frame rate;oen_term:oen_0000000;';';oen_0000515;';';';'
"owl:Class
""hardware""
oen_term:oen_0000000
""odML terminology""";hardware;oen_term:oen_0000000;';';oen_0000529;';';';'
"owl:Class
""discrete drug application volume""
oen_term:oen_0000000
""Helmholtz""";discrete drug application volume;oen_term:oen_0000000;';';oen_0000162;';';';'
"owl:Class
""grating spatial wavelength""
oen_term:oen_0000000
""odML terminology""";grating spatial wavelength;oen_term:oen_0000000;';';oen_0000318;';';';'
"owl:Class
""image acquisition device""
oen_term:oen_0000000
""odML terminology""";image acquisition device;oen_term:oen_0000000;';';oen_0000319;';';';'
"owl:Class
""measurement""
oen_term:oen_0000000
""Helmholtz""";measurement;oen_term:oen_0000000;';';oen_0000253;';';';'
"owl:Class
""multistimulus""
oen_term:oen_0000000
""Helmholtz""";multistimulus;oen_term:oen_0000000;';';oen_0000252;';';';'
"owl:Class
""species codename""
oen_term:oen_0000000
""Helmholtz""";species codename;oen_term:oen_0000000;';';oen_0000255;';';';'
"owl:Class
""stimulus temporal offset""
oen_term:oen_0000000
""odML terminology""";stimulus temporal offset;oen_term:oen_0000000;';';oen_0000254;';';';'
"owl:Class
""image acquisition minimum frame rate""
oen_term:oen_0000000
""odML terminology""";image acquisition minimum frame rate;oen_term:oen_0000000;';';oen_0000257;';';';'
"owl:Class
""event""
oen_term:oen_0000000
""odML terminology""";event;oen_term:oen_0000000;';';oen_0000256;';';';'
"owl:Class
""temperature""
oen_term:oen_0000000
""odML terminology""";temperature;oen_term:oen_0000000;';';oen_0000310;';';';'
"owl:Class
""flow rate""
oen_term:oen_0000000
""odML terminology""";flow rate;oen_term:oen_0000000;';';oen_0000311;';';';'
"owl:Class
""stimulation orientation""
oen_term:oen_0000000
""Helmholtz""";stimulation orientation;oen_term:oen_0000000;';';oen_0000312;';';';'
"owl:Class
""reflection electron microscopy""
oen_term:oen_0000000
""odML terminology""";reflection electron microscopy;oen_term:oen_0000000;';';oen_0000313;';';';'
"owl:Class
""contact information""
oen_term:oen_0000000
""odML terminology""";contact information;oen_term:oen_0000000;';';oen_0000314;';';';'
"owl:Class
""microscope filter cube""
oen_term:oen_0000000
""odML terminology""";microscope filter cube;oen_term:oen_0000000;';';oen_0000315;';';';'
"owl:Class
""stimulation""
oen_term:oen_0000000
""Helmholtz""";stimulation;oen_term:oen_0000000;';';oen_0000316;';';';'
"owl:Class
""voltage stimulus isolator output""
oen_term:oen_0000000
""odML terminology""";voltage stimulus isolator output;oen_term:oen_0000000;';';oen_0000317;';';';'
"owl:Class
""recording experiment block""
oen_term:oen_0000000
""Helmholtz""";recording experiment block;oen_term:oen_0000000;';';oen_0000031;';';';'
"owl:Class
""uniform resource locator""
oen_term:oen_0000000
""odML terminology""";uniform resource locator;oen_term:oen_0000000;';';oen_0000030;';';';'
"owl:Class
""stimulus isolator output range maximum voltage""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output range maximum voltage;oen_term:oen_0000000;';';oen_0000479;';';';'
"owl:Class
""microscope objective""
oen_term:oen_0000000
""odML terminology""";microscope objective;oen_term:oen_0000000;';';oen_0000478;';';';'
"owl:Class
""square wave""
oen_term:oen_0000000
""odML terminology""";square wave;oen_term:oen_0000000;';';oen_0000475;';';';'
"owl:Class
""cell type""
oen_term:oen_0000000
""odML terminology""";cell type;oen_term:oen_0000000;';';oen_0000474;';';';'
"owl:Class
""continuous drug application end""
oen_term:oen_0000000
""Helmholtz""";continuous drug application end;oen_term:oen_0000000;';';oen_0000477;';';';'
"owl:Class
""device filtering""
oen_term:oen_0000000
""Helmholtz""";device filtering;oen_term:oen_0000000;';';oen_0000476;';';';'
"owl:Class
""position lateral axis""
oen_term:oen_0000000
""Helmholtz""";position lateral axis;oen_term:oen_0000000;';';oen_0000471;';';';'
"owl:Class
""stimulation grating shape""
oen_term:oen_0000000
""Helmholtz""";stimulation grating shape;oen_term:oen_0000000;';';oen_0000470;';';';'
"owl:Class
""genus""
oen_term:oen_0000000
""odML terminology""";genus;oen_term:oen_0000000;';';oen_0000473;';';';'
"owl:Class
""transmission upper bound""
oen_term:oen_0000000
""odML terminology""";transmission upper bound;oen_term:oen_0000000;';';oen_0000472;';';';'
"owl:Class
""multi-electrode device""
oen_term:oen_0000000
""Helmholtz""";multi-electrode device;oen_term:oen_0000000;';';oen_0000574;';';';'
"owl:Class
""fixed aperture""
oen_term:oen_0000000
""odML terminology""";fixed aperture;oen_term:oen_0000000;';';oen_0000575;';';';'
"owl:Class
""beam splitter wavelength""
oen_term:oen_0000000
""odML terminology""";beam splitter wavelength;oen_term:oen_0000000;';';oen_0000576;';';';'
"owl:Class
""species ISID""
oen_term:oen_0000000
""Helmholtz""";species ISID;oen_term:oen_0000000;';';oen_0000577;';';';'
"owl:Class
""device item properties""
oen_term:oen_0000000
""Helmholtz""";device item properties;oen_term:oen_0000000;';';oen_0000570;';';';'
"owl:Class
""intravenous drug application""
oen_term:oen_0000000
""Helmholtz""";intravenous drug application;oen_term:oen_0000000;';';oen_0000571;';';';'
"owl:Class
""paper digital object identifier""
oen_term:oen_0000000
""odML terminology""";paper digital object identifier;oen_term:oen_0000000;';';oen_0000208;';';';'
"owl:Class
""liquid solution component""
oen_term:oen_0000000
""Helmholtz""";liquid solution component;oen_term:oen_0000000;';';oen_0000209;';';';'
"owl:Class
""event timestamp""
oen_term:oen_0000000
""odML terminology""";event timestamp;oen_term:oen_0000000;';';oen_0000206;';';';'
"owl:Class
""type of drug preparation""
oen_term:oen_0000000
""Helmholtz""";type of drug preparation;oen_term:oen_0000000;';';oen_0000207;';';';'
"owl:Class
""chemistry""
oen_term:oen_0000000
""Helmholtz""";chemistry;oen_term:oen_0000000;';';oen_0000204;';';';'
"owl:Class
""recording end time""
oen_term:oen_0000000
""odML terminology""";recording end time;oen_term:oen_0000000;';';oen_0000205;';';';'
"owl:Class
""window function parameter""
oen_term:oen_0000000
""odML terminology""";window function parameter;oen_term:oen_0000000;';';oen_0000202;';';';'
"owl:Class
""dynamic clamp""
oen_term:oen_0000000
""odML terminology""";dynamic clamp;oen_term:oen_0000000;';';oen_0000203;';';';'
"owl:Class
""excitation filter wavelength""
oen_term:oen_0000000
""odML terminology""";excitation filter wavelength;oen_term:oen_0000000;';';oen_0000200;';';';'
"owl:Class
""power spectrum analysis""
oen_term:oen_0000000
""odML terminology""";power spectrum analysis;oen_term:oen_0000000;';';oen_0000201;';';';'
"owl:Class
""high pass filter""
oen_term:oen_0000000
""odML terminology""";high pass filter;oen_term:oen_0000000;';';oen_0000039;';';';'
"owl:Class
""charge couple device""
oen_term:oen_0000000
""odML terminology""";charge couple device;oen_term:oen_0000000;';';oen_0000038;';';';'
"owl:Class
""microchip gain""
oen_term:oen_0000000
""odML terminology""";microchip gain;oen_term:oen_0000000;';';oen_0000501;';';';'
"owl:Class
""researcher phone number""
oen_term:oen_0000000
""Helmholtz""";researcher phone number;oen_term:oen_0000000;';';oen_0000500;';';';'
"owl:Class
""behavioral process""
oen_term:oen_0000000
""odML terminology""";behavioral process;oen_term:oen_0000000;';';oen_0000503;';';';'
"owl:Class
""subject species""
oen_term:oen_0000000
""odML terminology""";subject species;oen_term:oen_0000000;';';oen_0000502;';';';'
"owl:Class
""cell input resistance""
oen_term:oen_0000000
""odML terminology""";cell input resistance;oen_term:oen_0000000;';';oen_0000505;';';';'
"owl:Class
""neural structure brain region""
oen_term:oen_0000000
""Helmholtz""";neural structure brain region;oen_term:oen_0000000;';';oen_0000504;';';';'
"owl:Class
""storage file path""
oen_term:oen_0000000
""Helmholtz""";storage file path;oen_term:oen_0000000;';';oen_0000507;';';';'
"owl:Class
""experiment protocol""
oen_term:oen_0000000
""Helmholtz""";experiment protocol;oen_term:oen_0000000;';';oen_0000506;';';';'
"owl:Class
""hardware settings""
oen_term:oen_0000000
""odML terminology""";hardware settings;oen_term:oen_0000000;';';oen_0000509;';';';'
"owl:Class
""eye tracker sampling rate""
oen_term:oen_0000000
""odML terminology""";eye tracker sampling rate;oen_term:oen_0000000;';';oen_0000508;';';';'
"owl:Class
""sliding window method""
oen_term:oen_0000000
""odML terminology""";sliding window method;oen_term:oen_0000000;';';oen_0000332;';';';'
"owl:Class
""image acquisition subsampling method""
oen_term:oen_0000000
""odML terminology""";image acquisition subsampling method;oen_term:oen_0000000;';';oen_0000333;';';';'
"owl:Class
""water immersion lens""
oen_term:oen_0000000
""odML terminology""";water immersion lens;oen_term:oen_0000000;';';oen_0000330;';';';'
"owl:Class
""result file""
oen_term:oen_0000000
""odML terminology""";result file;oen_term:oen_0000000;';';oen_0000331;';';';'
"owl:Class
""excitation filter range""
oen_term:oen_0000000
""odML terminology""";excitation filter range;oen_term:oen_0000000;';';oen_0000336;';';';'
"owl:Class
""stimulus end time""
oen_term:oen_0000000
""odML terminology""";stimulus end time;oen_term:oen_0000000;';';oen_0000337;';';';'
"owl:Class
""paralytic drug""
oen_term:oen_0000000
""Helmholtz""";paralytic drug;oen_term:oen_0000000;';';oen_0000334;';';';'
"owl:Class
""random dot horizontal extent""
oen_term:oen_0000000
""odML terminology""";random dot horizontal extent;oen_term:oen_0000000;';';oen_0000335;';';';'
"owl:Class
""local anaesthetic location""
oen_term:oen_0000000
""odML terminology""";local anaesthetic location;oen_term:oen_0000000;';';oen_0000338;';';';'
"owl:Class
""measurement timestamp""
oen_term:oen_0000000
""Helmholtz""";measurement timestamp;oen_term:oen_0000000;';';oen_0000339;';';';'
"owl:Class
""person role""
oen_term:oen_0000000
""odML terminology""";person role;oen_term:oen_0000000;';';oen_0000655;';';';'
"owl:Class
""discrete window method""
oen_term:oen_0000000
""odML terminology""";discrete window method;oen_term:oen_0000000;';';oen_0000654;';';';'
"owl:Class
""emission filter passband transmission""
oen_term:oen_0000000
""odML terminology""";emission filter passband transmission;oen_term:oen_0000000;';';oen_0000657;';';';'
"owl:Class
""search coil sensor""
oen_term:oen_0000000
""odML terminology""";search coil sensor;oen_term:oen_0000000;';';oen_0000656;';';';'
"owl:Class
""chemical substance shortname""
oen_term:oen_0000000
""Helmholtz""";chemical substance shortname;oen_term:oen_0000000;';';oen_0000651;';';';'
"owl:Class
""hollow electrode solution""
oen_term:oen_0000000
""Helmholtz""";hollow electrode solution;oen_term:oen_0000000;';';oen_0000650;';';';'
"owl:Class
""cutoff frequency""
oen_term:oen_0000000
""odML terminology""";cutoff frequency;oen_term:oen_0000000;';';oen_0000653;';';';'
"owl:Class
""continuous signal sampling rate""
oen_term:oen_0000000
""Helmholtz""";continuous signal sampling rate;oen_term:oen_0000000;';';oen_0000652;';';';'
"owl:Class
""beam splitter""
oen_term:oen_0000000
""odML terminology""";beam splitter;oen_term:oen_0000000;';';oen_0000659;';';';'
"owl:Class
""setup device""
oen_term:oen_0000000
""Helmholtz""";setup device;oen_term:oen_0000000;';';oen_0000042;';';';'
"owl:Class
""numerical aperture""
oen_term:oen_0000000
""odML terminology""";numerical aperture;oen_term:oen_0000000;';';oen_0000043;';';';'
"owl:Class
""animal strain""
oen_term:oen_0000000
""Helmholtz""";animal strain;oen_term:oen_0000000;';';oen_0000093;';';';'
