;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""six-speed shifter""
obo:OBI_0000968";six-speed shifter;obo:OBI_0000968;';';oen_0000006;';';';'
"owl:Class
""automobile pedal""
obo:OBI_0000968
""http://en.wikipedia.org/wiki/Automobile_pedal""";automobile pedal;obo:OBI_0000968;';';oen_0000007;';"""http://en.wikipedia.org/wiki/Automobile_pedal""";';'
"owl:Class
""unclassified term""";unclassified term;';';';oen_0000000;';';';'
"owl:Class
""has quality size""
""recording cap""
obo:OBI_0000968";recording cap;obo:OBI_0000968;';';oen_0000001;';';';has quality size
"owl:Class
""blood pressure sensor""
obo:OBI_0000968";blood pressure sensor;obo:OBI_0000968;';';oen_0000002;';';';'
"owl:Class
""car simulator""
obo:OBI_0000968";car simulator;obo:OBI_0000968;';';oen_0000003;';';';'
"owl:Class
""setup configuration""
oen_term:oen_0000000
""odML terminology""";setup configuration;oen_term:oen_0000000;';';oen_0000584;';';';'
"owl:Class
""scanner image height""
oen_term:oen_0000000
""odML terminology""";scanner image height;oen_term:oen_0000000;';';oen_0000530;';';';'
"owl:Class
""concentration""
oen_term:oen_0000000
""Helmholtz""";concentration;oen_term:oen_0000000;';';oen_0000531;';';';'
"owl:Class
""storage file server protocol""
oen_term:oen_0000000
""Helmholtz""";storage file server protocol;oen_term:oen_0000000;';';oen_0000639;';';';'
"owl:Class
""in silico preparation""
oen_term:oen_0000000
""Helmholtz""";in silico preparation;oen_term:oen_0000000;';';oen_0000638;';';';'
"owl:Class
""device type""
oen_term:oen_0000000
""Helmholtz""";device type;oen_term:oen_0000000;';';oen_0000637;';';';'
"owl:Class
""chemical components list""
oen_term:oen_0000000
""Helmholtz""";chemical components list;oen_term:oen_0000000;';';oen_0000369;';';';'
"owl:Class
""analysis algorithm""
oen_term:oen_0000000
""Helmholtz""";analysis algorithm;oen_term:oen_0000000;';';oen_0000635;';';';'
"owl:Class
""back-forth stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";back-forth stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000634;';';';'
"owl:Class
""dataset quality range""
oen_term:oen_0000000
""odML terminology""";dataset quality range;oen_term:oen_0000000;';';oen_0000633;';';';'
"owl:Class
""stimulus generator""
oen_term:oen_0000000
""Helmholtz""";stimulus generator;oen_term:oen_0000000;';';oen_0000632;';';';'
"owl:Class
""analog input polarity""
oen_term:oen_0000000
""odML terminology""";analog input polarity;oen_term:oen_0000000;';';oen_0000631;';';';'
"owl:Class
""job details""
oen_term:oen_0000000
""Helmholtz""";job details;oen_term:oen_0000000;';';oen_0000368;';';';'
"owl:Class
""recording start time""
oen_term:oen_0000000
""odML terminology""";recording start time;oen_term:oen_0000000;';';oen_0000728;';';';'
"owl:Class
""intravenous anaesthetic""
oen_term:oen_0000000
""Helmholtz""";intravenous anaesthetic;oen_term:oen_0000000;';';oen_0000636;';';';'
"owl:Class
""image acquisition colorspace""
oen_term:oen_0000000
""odML terminology""";image acquisition colorspace;oen_term:oen_0000000;';';oen_0000367;';';';'
"owl:Class
""random dot size""
oen_term:oen_0000000
""odML terminology""";random dot size;oen_term:oen_0000000;';';oen_0000366;';';';'
"owl:Class
""beam splitter device component""
oen_term:oen_0000000
""odML terminology""";beam splitter device component;oen_term:oen_0000000;';';oen_0000703;';';';'
